1000  36.552
7.77561  15.9651  10.0526
17.8879  5.88376  24.556
17.8786  9.19693  26.9571
11.9246  30.1229  18.6157
7.87447  7.38143  1.69929
8.74769  17.8724  0.00230989
2.04841  5.30415  6.5336
4.02542  5.2385  2.95415
35.2012  36.3297  24.0207
14.1413  15.5461  16.2071
35.9249  35.2734  11.9264
6.3438  20.7383  36.3896
16.0891  10.4463  30.2268
9.78878  4.13938  1.16844
8.97501  1.5634  34.7195
19.9463  2.22291  17.2099
14.4183  30.9122  3.9213
13.6225  13.1183  6.31874
13.7264  2.47459  9.99577
0.808363  7.99552  15.4703
12.0673  23.5733  11.3421
30.097  14.172  12.478
27.5618  11.5753  28.3207
7.34212  10.865  13.8281
1.44819  11.2038  13.6057
35.395  12.1143  0.967403
35.0715  14.4299  5.35624
14.1645  20.9412  12.6865
24.0268  16.3115  12.293
14.1038  12.8754  23.6187
7.66646  19.0407  33.4154
6.00576  18.9214  15.3434
9.32352  7.10293  18.9366
20.5062  4.65335  12.3212
11.9942  10.5282  4.1456
3.87386  29.381  36.5403
1.33864  18.5968  9.3086
16.4026  18.4588  15.2304
5.10264  25.9305  22.2588
5.65362  10.1068  20.546
33.9344  29.1125  23.3639
12.16  10.0579  12.3277
5.68816  0.901279  25.4531
5.43241  22.3545  20.6585
16.2185  14.6646  32.4872
31.3071  20.3151  8.3126
36.3853  15.5129  15.0877
29.9662  12.7244  9.19525
30.8416  20.1937  18.5071
1.56435  25.2068  20.0733
2.99483  31.4542  16.19
2.05927  26.8978  7.27821
0.719578  22.5045  31.9336
30.3458  23.2068  31.1538
6.88406  23.6523  1.95437
4.88604  18.3099  30.9091
4.38253  35.2923  19.2912
14.5696  24.5217  7.54853
34.2234  21.6399  9.46699
0.782948  26.07  14.1012
6.33131  32.0163  16.6639
36.4705  35.3628  20.6308
4.23852  28.0447  29.4854
34.2778  17.8708  34.018
14.2054  22.1453  5.02292
6.42644  27.066  6.64718
5.12669  24.8891  9.22148
0.0692624  31.7316  2.63657
8.47555  29.2844  13.3519
1.86416  32.3956  20.6054
12.2829  1.01637  18.5084
4.89538  31.4642  12.7013
33.9482  22.2341  23.266
13.4745  3.86172  24.6393
15.3061  18.0377  36.4726
13.9765  22.1214  0.873437
9.06696  31.8767  6.86399
13.7873  35.7981  15.6848
1.4552  32.4096  5.77277
11.5237  7.23856  2.48832
6.9427  36.1901  12.7879
6.45713  6.82266  24.6731
5.16965  22.6824  26.4046
8.79657  27.1995  27.8095
8.42388  35.3265  27.6549
18.9015  33.4204  35.8305
14.9406  1.42046  26.3583
15.4725  35.8951  8.70607
13.241  0.861744  6.60814
7.58591  34.9184  17.6814
17.42  2.44842  32.2296
19.455  7.96659  21.6374
8.70781  23.604  21.6833
18.7188  32.2924  2.65646
18.8818  8.17865  33.2408
14.7665  2.90736  29.8016
6.85206  27.3875  35.057
16.1591  3.08588  0.492661
10.1363  31.1139  32.7289
2.24736  4.88987  17.7765
16.6447  6.3572  30.4828
9.22536  8.0789  27.328
13.3789  5.46083  31.9651
20.7455  10.6384  23.3276
6.31632  31.9726  30.6793
1.01508  2.51409  3.16783
10.3487  14.0291  4.40803
1.02526  4.48423  13.6222
10.4328  2.53157  8.03506
22.6355  10.528  19.4556
36.015  11.7299  16.3144
21.7388  36.4424  33.8713
10.863  12.1756  29.128
10.8011  4.56139  11.434
12.3771  36.4476  28.9186
6.15506  31.0716  34.1677
16.4494  11.432  7.45926
4.05844  14.0527  4.85887
8.31952  24.2021  25.5509
14.0378  10.9537  17.5105
16.9966  12.4038  17.0104
17.1322  7.36125  13.0544
6.11038  12.6067  29.6269
3.25858  5.04735  33.1015
16.4714  5.31518  34.3411
14.4982  15.5947  9.67221
14.128  22.4231  16.9194
4.19356  8.80942  10.9292
8.41672  2.83347  14.0327
22.1523  25.7518  23.473
32.6274  30.8815  14.5644
13.0336  5.02762  6.59297
8.84431  21.0766  26.764
7.75171  11.4834  4.93764
13.6516  9.04364  7.54345
7.93306  21.7195  9.27423
15.6735  7.65507  20.1084
3.41346  20.2226  23.218
11.9247  17.1857  19.2046
35.8805  10.4521  27.8301
21.9876  28.0401  10.2507
6.91757  25.5714  18.5156
35.2687  23.9591  18.5894
15.4939  19.7579  2.83246
17.2097  21.9306  7.73884
15.9547  27.2102  34.2186
7.82975  23.8959  5.5069
0.259673  15.6188  10.7373
12.9458  12.3021  9.88972
18.6835  34.0948  7.1813
14.2091  33.4739  27.6401
0.375781  18.7624  31.668
10.3723  12.8963  32.7016
12.6939  23.8082  34.3973
2.46638  11.1894  3.65611
14.4981  34.5113  19.0266
3.73585  24.4628  4.82634
16.2253  21.199  34.9559
11.245  34.7298  20.7979
7.34121  30.3314  27.8553
2.22159  17.8993  20.8205
27.7368  18.8232  16.9638
10.674  19.2817  10.0948
4.1095  25.9951  0.784929
10.644  22.964  30.5568
19.856  0.39625  8.77662
12.7284  3.26702  35.3842
12.3302  33.4497  8.83473
17.3694  30.3595  16.3197
8.865  32.8524  14.0136
8.78743  2.16212  17.9046
12.6363  31.6641  21.9852
7.15743  21.8709  31.0646
5.73445  16.319  2.74959
12.0296  30.5305  35.743
12.2284  29.5556  6.6333
7.40496  28.4597  24.599
15.0885  25.109  14.2856
20.5423  29.5827  35.4587
2.37015  34.6003  13.8362
17.0422  32.8954  30.0472
3.5372  19.4774  2.76049
9.83934  35.0374  1.88769
20.1965  4.78861  31.7766
6.17469  19.2314  27.6673
10.1743  7.37002  35.4567
14.2608  6.32045  0.503489
10.1301  24.881  36.3829
13.2389  6.29429  13.881
4.8443  12.6868  11.4004
17.8679  1.90631  24.6005
32.19  3.35443  30.0539
3.72517  34.087  28.689
4.69519  3.82553  12.5519
12.7043  25.8093  27.2519
12.7206  9.60558  36.3437
22.6619  31.1648  12.4799
26.2569  11.1905  19.2198
23.7421  4.98437  15.595
29.8492  2.33322  20.9556
17.1758  12.7107  10.8508
22.9956  14.7834  31.7437
25.5841  7.50572  29.2042
25.9005  1.35707  33.7525
20.288  23.1732  29.5358
2.61322  1.25598  35.1193
8.18784  4.89136  5.14825
19.8808  12.2287  0.449557
18.974  30.9713  12.5971
5.11852  12.0097  7.83203
24.1414  8.74517  8.29095
31.1303  2.46892  33.3719
24.6172  19.1489  18.554
15.2702  5.79059  27.5628
22.9121  4.62811  28.7924
26.2235  7.0724  1.85013
15.0811  0.781396  33.8196
28.3792  8.69739  35.1991
21.082  7.47219  7.47355
25.4985  3.16064  19.5989
21.3147  4.82724  22.1704
13.7609  13.9621  20.0215
13.4657  0.99923  21.7584
16.9306  10.4834  23.6201
11.0814  10.8583  25.6864
16.4923  9.37871  36.5439
20.5937  15.309  1.15945
0.801707  15.4279  3.10078
12.5451  2.27547  14.844
10.0043  8.7578  15.7189
3.49223  15.6914  8.83728
11.4332  15.359  23.9617
28.1452  24.504  18.5506
12.6451  20.1306  27.0267
9.60777  14.2638  36.5258
8.69332  18.5621  7.06542
18.4489  16.8133  10.0908
16.0848  3.86706  8.14012
17.5291  22.1034  15.1485
9.81179  22.0735  13.2304
19.1463  19.4509  17.6588
6.45845  32.4939  21.5395
12.5206  6.50341  21.7977
15.0988  18.464  32.9765
15.3346  8.68758  33.3999
6.79952  21.1414  23.7626
0.700095  22.8417  7.14518
8.12365  17.7387  25.127
30.8505  21.5717  4.3385
10.286  23.9627  16.0962
14.2592  28.0025  21.1531
7.37796  25.0751  14.2426
13.1838  30.4753  31.1527
21.5091  20.757  1.5898
16.5888  15.5748  19.2809
13.2113  15.4825  34.3882
3.71305  20.9366  6.2628
13.6631  23.1212  24.4294
10.4151  21.1709  5.01225
9.71861  30.6955  3.24222
24.8862  23.3574  18.864
21.0329  28.501  20.3586
21.3354  22.6333  16.8047
13.2484  18.0033  22.3796
13.7665  21.4372  31.5054
19.8994  21.8734  34.2451
16.4124  33.1727  14.2915
6.17895  22.0028  12.319
20.1206  28.038  14.4947
13.0682  33.3484  1.5889
17.8787  2.83455  10.8772
2.30812  17.9061  15.3189
28.5181  21.2432  10.4981
9.89237  32.2911  29.5056
14.8327  33.5535  34.9101
22.9835  27.9037  5.99989
15.4929  31.8423  7.70627
16.8841  1.53894  5.35882
15.8443  4.37781  4.16703
13.0106  29.7479  15.0075
17.0459  27.3341  18.743
19.553  0.353977  29.456
16.9172  23.4994  32.0262
23.4693  7.81805  22.1773
11.1077  20.974  22.8336
14.4097  25.6496  0.842252
10.5368  7.82802  5.78824
25.6539  29.2766  32.5033
14.2616  13.4411  12.9839
20.4939  33.205  27.957
4.00525  1.18207  15.1213
15.4439  10.2234  13.8205
23.2996  1.34436  30.4303
24.41  28.051  25.4201
24.9875  26.4728  29.8222
25.9121  8.15981  24.7918
23.7404  1.31349  2.35636
26.0755  32.3302  12.8474
19.2645  10.7161  13.7003
19.417  1.90277  21.422
31.8331  14.2189  22.0632
2.60463  6.08703  28.9496
20.759  7.86146  29.5938
21.5337  34.8548  17.7504
21.6073  2.39711  26.3825
13.4212  0.629817  1.87041
28.336  6.80026  5.55547
19.1179  3.3065  2.09354
16.4995  0.935341  18.308
